epoch,hitrate10,hitrate20,mrr10,mrr20
1,33.28183985694417,38.98917146830916,18.405673349543804,18.805191122788017
2,36.030531823299555,41.541823961851776,21.652632834929676,22.038446717500545
3,43.606530233790316,48.623584343333995,29.065120666563644,29.417998687200303
4,43.82094840717928,48.80538446254719,29.410400812310705,29.76202798825086
5,43.861182859792045,48.769123783031986,29.547794017158708,29.89329097591501
6,44.19746340817273,49.08752235247367,30.18690610226474,30.531181464106915
7,44.19796012980992,49.11302072984966,30.246538060441296,30.592662380869477
8,44.192992913437976,49.10523875753361,30.270523013717927,30.61642049330027
9,44.211040466256044,49.12262401483542,30.327386274398492,30.673263014002615
10,44.242665077157426,49.15375190409961,30.363098129067733,30.70894789607174
11,44.25773230015233,49.17477978674085,30.376674661519683,30.722861709411127
12,44.25028147559441,49.165673223392275,30.369877590968393,30.716101058728185
13,44.24581098085966,49.16352076296444,30.3643648349465,30.710778694848962
14,44.245479833101534,49.16335518908537,30.363954119740928,30.710305294554317
15,44.245479833101534,49.16401748460163,30.363779413016946,30.710153835156582
16,44.24647327637592,49.16451420623883,30.36304392333351,30.709338729987834
17,44.246969998013114,49.16352076296444,30.36282585202215,30.709016077272622
18,44.246969998013114,49.16352076296444,30.362823486681023,30.709014778755666
19,44.246969998013114,49.16352076296444,30.362878940789727,30.709071031274615
20,44.24713557189218,49.16352076296444,30.362987746481686,30.70916478479575
