epoch,hitrate10,hitrate20,mrr10,mrr20
1,22.85055665471257,27.957537871974925,11.117799567480404,11.474204502036113
2,25.280896814239203,30.073302964787413,13.739882613643312,14.07380632651252
3,32.09473224412787,36.76050082406187,21.21703584999796,21.542809892293587
4,32.32341400207759,36.88126534792296,21.79853608483243,22.11766029668087
5,32.313136170259625,36.75683016984117,22.091592815142995,22.401815781734687
6,32.6174334051558,37.002029871784046,23.012931685687356,23.31873065128971
7,32.64019146132415,37.035799890614506,23.149183165820407,23.455422840181857
8,32.649001031453835,37.017446619511,23.21725792457831,23.521555566780332
9,32.687542900771206,37.02809151675103,23.301076585403628,23.60345901644773
10,32.71360454573819,37.063696862691835,23.335740670726405,23.63882999668193
11,32.72755303177685,37.081316002951205,23.353207449703444,23.65635319224178
12,32.71250334947198,37.065165124380115,23.34389607783605,23.647299336293635
13,32.70002312512159,37.060393273893204,23.33918292868449,23.64316110798239
14,32.70039019054366,37.058925012204924,23.338933411594013,23.642699383712518
15,32.70002312512159,37.06112740473735,23.338718998776038,23.642619419694803
16,32.699288994277445,37.061861535581485,23.337689613324546,23.641683355760286
17,32.69818779801124,37.060393273893204,23.33709502560514,23.641113252422876
18,32.69818779801124,37.060393273893204,23.33710726111921,23.641128309158237
19,32.69818779801124,37.060393273893204,23.337099104109832,23.641116051234796
20,32.69855486343331,37.060393273893204,23.337117457380938,23.641101034922073
