epoch,hitrate10,hitrate20,mrr10,mrr20
1,19.77711787571899,24.80004111132727,9.314886081828904,9.664599990224536
2,23.230102301133133,27.963777984150116,12.820247101450416,13.149739032215487
3,30.917553435548818,35.46879760379692,20.26160082590885,20.58019397756427
4,31.511098223036292,36.030040634142225,21.054802984043782,21.370894453410205
5,31.660493849818856,36.1251105784584,21.474301516743456,21.786937950811037
6,32.064632879518115,36.53952743997563,22.059321646785992,22.37273290646539
7,32.15089325370461,36.62064889825313,22.213474849289053,22.526071629861327
8,32.155298038769445,36.65258358997324,22.293597947882887,22.608521001931447
9,32.148690861172184,36.6173453094545,22.289281433312397,22.60199206875627
10,32.12483160873762,36.6063333467924,22.279051815246305,22.593012874528814
11,32.11749030029622,36.60780160848068,22.277995336870795,22.59255312016398
12,32.11014899185482,36.59972616919514,22.27301067583561,22.587521104821544
13,32.10904779558861,36.595321384130294,22.27173789105067,22.58589476439405
14,32.1042759451017,36.58871420653303,22.271032455400235,22.58512369032809
15,32.104643010523766,36.58944833737717,22.27122283417272,22.58534099246426
16,32.10390887967963,36.58944833737717,22.271122619486057,22.58530325213156
17,32.103541814257554,36.58798007568889,22.270700057268034,22.584828358552535
18,32.103541814257554,36.58798007568889,22.270700057268034,22.584828358552535
19,32.103541814257554,36.58834714111096,22.270516524556996,22.584663179112603
20,32.103541814257554,36.58834714111096,22.270512446052308,22.584659100607915
