epoch,hitrate10,hitrate20,mrr10,mrr20
1,29.495496390489436,35.236936220941786,15.723058895942863,16.12550436423757
2,32.97321014636731,38.483674415524206,19.317274572477732,19.702756072973145
3,41.57791906748791,46.45357308431022,27.582470706564187,27.926418532822574
4,42.265878535002315,47.1468309159547,28.27393554392859,28.61806759819266
5,42.54288363467779,47.38889992714749,28.610258668449607,28.952044768509587
6,43.037121663686335,47.880488774091,29.24547398545263,29.586694908071287
7,43.11113318762832,47.98082654480429,29.37127360216224,29.713999998128365
8,43.13464467845552,48.0194052586264,29.4255704677173,29.769798364366956
9,43.148552884296976,47.99589376779919,29.431388681264497,29.772503252307814
10,43.14789058878071,47.98579376117624,29.43024372474999,29.7709152260415
11,43.14126763361812,47.99688721107358,29.433390416899258,29.77528504823074
12,43.142095503013444,47.98943638651566,29.428987925721977,29.77019426346582
13,43.140605338101864,47.98910523875753,29.427269571095323,29.76842276043392
14,43.137293860520565,47.98364130074839,29.426357206458537,29.76745768726563
15,43.1371282866415,47.98496589178091,29.42609761026958,29.76728376194375
16,43.13663156500431,47.98579376117624,29.426339400696143,29.767615865411628
17,43.13696271276243,47.98463474402278,29.426149844886183,29.76733695909171
18,43.13696271276243,47.98463474402278,29.426154444160602,29.767342376992968
19,43.13696271276243,47.98480031790185,29.42607165722107,29.76726786874739
20,43.13696271276243,47.98480031790185,29.42606981751131,29.76726683623821
