epoch,hitrate10,hitrate20,mrr10,mrr20
1,33.60586793827406,39.27495198357507,18.401223485840017,18.79819840420789
2,34.05142724683754,39.36105040068878,19.855522467061313,20.2285294331952
3,43.61530564938075,48.598913835353336,29.009434885838125,29.360203119213963
4,43.856546791178225,48.81747135571892,29.3812413467937,29.730572543281593
5,43.847936949466856,48.737499172130605,29.51030309744049,29.854889498099883
6,44.159050268229684,48.98784687727664,30.086002160870528,30.426220786437646
7,44.16103715477846,48.999271474932115,30.13746653042302,30.478293489413243
8,44.15126829591364,48.990661633220746,30.164715457346592,30.505577054549825
9,44.1933240611961,49.026260017219684,30.19962138772987,30.53974276401051
10,44.235048678720446,49.05093052520034,30.23201217204545,30.570791295947082
11,44.24018146897146,49.061692827339556,30.246068014595735,30.58553393492995
12,44.23802900854361,49.06036823630704,30.242835118903074,30.582440462804595
13,44.237035565269224,49.05589774157229,30.238411208247783,30.577849656330386
14,44.238525730180804,49.059871514669844,30.238853724150765,30.578349646289173
15,44.23819458242268,49.05954036691171,30.23827750077005,30.57780250302344
16,44.23670441751109,49.06086495794423,30.23807414713684,30.577785724321334
17,44.236207695873894,49.061196105702365,30.23871239501828,30.578486464243472
18,44.236207695873894,49.061196105702365,30.238701553871433,30.578478117318518
19,44.236207695873894,49.061196105702365,30.238629148151304,30.578406574496313
20,44.236207695873894,49.0610305318233,30.238629148151304,30.578397292953053
