epoch,hitrate10,hitrate20,mrr10,mrr20
1,23.382067385870183,28.519147967742292,11.102460602664324,11.46017555230226
2,23.579181517521867,28.26110097602696,12.819954031756286,13.145935605417353
3,32.1288693283804,36.75462777730875,21.30028424847113,21.62290485782475
4,32.37333489947913,36.873189908637414,21.93116031768755,22.245459671848266
5,32.33699542269419,36.705073945329275,22.2151375682545,22.52011607353184
6,32.64789983518763,36.953577236070785,23.010150436810765,23.310572498816665
7,32.64459624638899,36.96642452584324,23.144619319072667,23.446121875536754
8,32.631381891194465,36.958716151979765,23.218368588801834,23.520401940734505
9,32.67469561099875,36.98037301188191,23.24259243042348,23.542887983796508
10,32.71874346164717,37.01230770360201,23.278694479971133,23.577791514498834
11,32.724616508400295,37.01928194662135,23.289573599909062,23.588892608504832
12,32.71323748031612,37.00606759142682,23.279762174234538,23.579220325861446
13,32.70369377934229,37.000561610095765,23.273759343635753,23.57367971705295
14,32.70626323729678,36.99982747925163,23.268330562572036,23.567837410023408
15,32.705529106452644,36.99982747925163,23.268083813038317,23.56765191050888
16,32.704060844764356,37.00129574093991,23.268227580328624,23.567990225142715
17,32.70185845223194,37.002029871784046,23.268797260037243,23.568795332309687
18,32.70185845223194,37.002029871784046,23.26877322599175,23.568766164482067
19,32.70185845223194,37.002029871784046,23.268584595149854,23.56857906307943
20,32.70185845223194,37.00166280636198,23.268584595149854,23.568558692965347
