epoch,hitrate10,hitrate20,mrr10,mrr20
1,33.792138552222,39.664216173256506,18.163525230831013,18.57402763292044
2,35.84922842572355,41.31846479899331,21.201893692108275,21.583878441301035
3,43.03629379429101,48.13514140009272,28.69796663449803,29.056956062839117
4,43.29939068812504,48.29541691502748,29.049471898170488,29.40163194025049
5,43.26842837273991,48.203523412146495,29.10450412200114,29.452441387561336
6,43.67325650705345,48.56944168487979,29.806770552449073,30.15136329880358
7,43.688323730048346,48.57424332737267,29.863461340338947,30.20754348275278
8,43.66398436982581,48.57142857142857,29.887867390040547,30.233572058049173
9,43.777236903106164,48.63318762831976,30.005435619619508,30.346813855838274
10,43.805550036426254,48.65736141466323,30.0320724488219,30.373428963083377
11,43.81631233856547,48.67756142790913,30.04502361136079,30.386930617393137
12,43.817305781839856,48.68285979203921,30.04743586508935,30.389641905511628
13,43.81283528710511,48.676402410755685,30.048686210691972,30.39100750877782
14,43.80803364461222,48.68087290549043,30.048662820096357,30.39175377852304
15,43.808364792370355,48.68103847936949,30.04859264830952,30.391658813428958
16,43.80919266176568,48.68203192264388,30.048964532498207,30.392013707255156
17,43.808364792370355,48.68285979203921,30.049055860947377,30.3922230047567
18,43.808364792370355,48.68285979203921,30.049026425591098,30.392191145639284
19,43.808364792370355,48.68285979203921,30.048941996053557,30.392107231155386
20,43.808364792370355,48.683025365918276,30.04905421834937,30.392227427832257
