epoch,hitrate10,hitrate20,mrr10,mrr20
1,23.361878787656323,28.692769912381483,11.050299003918452,11.421060620862136
2,25.722476516989623,30.624635228736818,13.906863296038901,14.246983826613105
3,31.728768018323905,36.37508213088819,21.268229532184442,21.59252085489992
4,32.00920600078552,36.51493405669692,21.78574502016034,22.100600052964378
5,31.965525215559172,36.34865342049913,21.984792217374043,22.2907642908035
6,32.366360656459804,36.69773263688787,22.92252798771881,23.224763740793602
7,32.40123187155647,36.70801046870584,23.057645206565482,23.358355443815164
8,32.38948577805022,36.71755416967966,23.12006074874471,23.422085794927643
9,32.490428769119525,36.76417147828258,23.24381874938713,23.541553282411474
10,32.52603411506033,36.78179061854194,23.2758096662076,23.57226531948565
11,32.52970476928103,36.79940975880131,23.28577971658238,23.583314847913822
12,32.531173030969306,36.800143889645454,23.28720937813699,23.584573967318267
13,32.526401180482395,36.79280258120405,23.288257408181355,23.585665189685102
14,32.52750237674861,36.792068450359906,23.291072596043392,23.588336163821324
15,32.52713531132654,36.79170138493784,23.291179219808857,23.588449319423553
16,32.52713531132654,36.79133431951577,23.290946308058903,23.588189477606964
17,32.52603411506033,36.79243551578198,23.290386970272888,23.58778722488168
18,32.52603411506033,36.79243551578198,23.290386970272888,23.587784124427888
19,32.52603411506033,36.79243551578198,23.290392068403744,23.587790640610276
20,32.52603411506033,36.79280258120405,23.290579679619476,23.587994857166525
